Gorilla_ID,Purpose,Concealment,awareness_check_R1,awareness_check_R2
16155757,facial expressions in relation to emotions,not sure,,
16155759,To see how repetitive tasks affect mood,Absolutely no clue,,
16155760,I have no idea,I have no idea about this either,,
16155761,I have no idea but what the hell was with the abused animals? That wasn't cool.,I don't know,,
16155766,visual effects,the purpose,,
16155769,understanding facial patterns with different images/activities,who does this study benefit,,
16155777,evoke feelings,concentration and feelings,,
16155801,i dont know,i dont know,,
16156287,"To test peoples emotional endurance, and to see if peoples moods would change drastically given certain circumstances",they will use my recordings for ai training,,
16156288,To track how certain hand/eye movements effect thinking in the brain (specifically to math/problems)?,n/a,,
16156289,If physical movements and/or images can affect math skills,I'm not sure,,
16156291,Impact of upsetting images on feelings,See above. Details of how seeing upsetting images impacts feelings and performance.,,
16156292,AI training,AI,,
16156293,I believe the purpose of this study was to see if seeing images changed how you were feeling in the moment and how you examined your own life,"That it had nothing to do with math, it was how you react to certain things.",,
16156294,"Based on the initial consent form explaining how the researchers wanted to see how multi-tasking affected a person's skills, I think it was to see if the physical movements had any effect on my moods, feelings, and basic cognitive ability for simple math.","Some untold details could maybe be the reason for such simple math, the specific images selected, the particular body movements, and the reason for the specific facial expression I had to do",,
16156301,I am not sure but I am sure that the 1st and last test were to make sure I was a real human,That this will all be used for AI?,,
16156307,"I honestly can't decide on the purpose of this study, but maybe it was testing how people do with certain math problems while also simultaneously doing another task.",Maybe more about what this study is about?,,
16156339,I have zero clue but I am certain it has nothing to do with math.,I love when studies do this! Maybe you are measuring my outlook on life after a stimulus?,,
16156370,To train A.I.,To train A.I. so that it can perfrom other actions.,,
16156850,The study was about deciphering suttle facial emotions especially the eyes and to see if we followed instruction.,If we kown basic math and the emotions shown in the eyes and eye movements.,,
16157820,gauge reactions,i couldn't begin to guess,,
16157821,I believe the purpose of this study was to find any correlation with various physical tasks and mental states of mind after those physical tasks.,I believe the details of this study that have not been revealed involve research on not just mental states after physical tasks but emotional states as well.,,
16157822,Hmmm emotional responses to certain tasks?,Probably guaging our mood or something based on the tasks we did,,
16157823,To test how people manage their emotions while performing a movement and solving math problems.,I am not too sure but I believe it has to do with how affected we were emotionally by the physical tasks given and the math problems.,,
16157825,How repetitive tasks affect your mood?,Probably mapping my mood throught the task,,
16157826,To see if movements or other peoples smiles can improve mood possibly.,"No idea, but I think it's to see if images of people smiling or mean dogs or other imagry can effect mood.",,
16157827,i dont know,no clue,,
16157828,NA,if multi tasking becomes irritating,,
16157832,see mood swings after doing tasks,maybe about depression,,
